sep=,
imagehere,name,label,price
12\1\0.jpg,いくら,12,1298
12\0\7.jpg,イクラ,12,300
18\0\3.jpg,ウニ,18,400
59\0\1.jpg,中トロ,59,400
68\0\3.jpg,[寿司]ネギトロ,68,90
41\0\8.jpg,[寿司]〆鯖,41,90
8\0\0.jpg,[寿司]甘エビ,8,130
20\0\4.jpg,[寿司]えんがわ,20,130
44\0\14.jpg,[寿司]サーモン,44,130
78\0\3.jpg,[寿司]ホタテ,78,200
12\0\8.jpg,[寿司]いくら,12,200
19\0\19.jpg,甘えび,19,258
19\0\20.jpg,赤えび,19,168
19\0\21.jpg,ぼたんえび,19,598
27\0\4.jpg,かに味噌,27,429
78\0\4.jpg,帆立フライ,78,759
19\0\22.jpg,海老,19,330
31\0\0.jpg,きす,31,220
57\0\3.jpg,穴子/たまご,57,165
44\0\15.jpg,サーモン棒寿司,44,759
41\0\9.jpg,〆鯖の棒寿司,41,759
52\0\0.jpg,天然スルメイカ,52,220
19\0\23.jpg,赤えび,19,165
81\0\6.jpg,まぐろ,81,110
1\0\0.jpg,びん長まぐろ,1,110
44\0\16.jpg,サーモン,44,110
44\0\17.jpg,とろサーモン,44,110
19\0\24.jpg,えび,19,110
11\0\3.jpg,真いか,11,110
26\0\3.jpg,天然かつお,26,165
55\0\3.jpg,生たこ,55,121
60\0\2.jpg,つぶ貝,60,165
78\0\5.jpg,ほたて,78,220
5\0\4.jpg,国産あじ,5,165
15\0\2.jpg,国産〆いわし,15,110
6\0\6.jpg,煮穴子,6,121
17\0\1.jpg,うなぎ,17,220
44\0\18.jpg,とろサーモン塩炙り,44,110
12\0\9.jpg,特盛いくら,12,330
68\0\4.jpg,ねぎとろ軍艦,68,110
62\0\0.jpg,とびこ軍艦,62,110
12\0\10.jpg,いくら,12,165
52\0\1.jpg,天然スルメイカ,52,220
19\0\25.jpg,赤えび,19,165
81\0\7.jpg,まぐろ,81,110
1\0\1.jpg,びん長まぐろ,1,110
44\0\19.jpg,サーモン,44,110
44\0\20.jpg,とろサーモン,44,110
19\0\26.jpg,えび,19,110
11\0\4.jpg,真いか,11,110
26\0\4.jpg,天然かつお,26,165
55\0\4.jpg,生たこ,55,121
60\0\3.jpg,つぶ貝,60,165
78\0\6.jpg,ほたて,78,220
5\0\5.jpg,国産あじ,5,165
15\0\3.jpg,国産〆いわし,15,110
6\0\7.jpg,煮穴子,6,121
17\0\2.jpg,うなぎ,17,220
44\0\21.jpg,とろサーモン塩炙り,44,110
12\0\11.jpg,特盛いくら,12,330
68\0\5.jpg,ねぎとろ軍艦,68,110
62\0\1.jpg,とびこ軍艦,62,110
12\0\12.jpg,いくら,12,165
52\0\2.jpg,天然スルメイカ,52,220
19\0\27.jpg,赤えび,19,165
81\0\8.jpg,まぐろ,81,110
1\0\2.jpg,びん長まぐろ,1,110
44\0\22.jpg,サーモン,44,110
44\0\23.jpg,とろサーモン,44,110
19\0\28.jpg,えび,19,110
11\0\5.jpg,真いか,11,110
26\0\5.jpg,天然かつお,26,165
55\0\5.jpg,生たこ,55,121
60\0\4.jpg,つぶ貝,60,165
78\0\7.jpg,ほたて,78,220
5\0\6.jpg,国産あじ,5,165
15\0\4.jpg,国産〆いわし,15,110
6\0\8.jpg,煮穴子,6,121
17\0\3.jpg,うなぎ,17,220
44\0\24.jpg,とろサーモン塩炙り,44,110
12\0\13.jpg,特盛いくら,12,330
68\0\6.jpg,ねぎとろ軍艦,68,110
62\0\2.jpg,とびこ軍艦,62,110
12\0\14.jpg,いくら,12,165
52\0\3.jpg,天然スルメイカ,52,220
19\0\29.jpg,赤えび,19,165
81\0\9.jpg,まぐろ,81,110
1\0\3.jpg,びん長まぐろ,1,110
44\0\25.jpg,サーモン,44,110
44\0\26.jpg,とろサーモン,44,110
19\0\30.jpg,えび,19,110
11\0\6.jpg,真いか,11,110
26\0\6.jpg,天然かつお,26,165
55\0\6.jpg,生たこ,55,121
60\0\5.jpg,つぶ貝,60,165
78\0\8.jpg,ほたて,78,220
5\0\7.jpg,国産あじ,5,165
15\0\5.jpg,国産〆いわし,15,110
6\0\9.jpg,煮穴子,6,121
17\0\4.jpg,うなぎ,17,220
44\0\27.jpg,とろサーモン塩炙り,44,110
12\0\15.jpg,特盛いくら,12,330
68\0\7.jpg,ねぎとろ軍艦,68,110
62\0\3.jpg,とびこ軍艦,62,110
12\0\16.jpg,いくら,12,165
52\0\4.jpg,天然スルメイカ,52,220
19\0\31.jpg,赤えび,19,165
81\0\10.jpg,まぐろ,81,110
1\0\4.jpg,びん長まぐろ,1,110
44\0\28.jpg,サーモン,44,110
44\0\29.jpg,とろサーモン,44,110
19\0\32.jpg,えび,19,110
11\0\7.jpg,真いか,11,110
26\0\7.jpg,天然かつお,26,165
55\0\7.jpg,生たこ,55,121
60\0\6.jpg,つぶ貝,60,165
78\0\9.jpg,ほたて,78,220
5\0\8.jpg,国産あじ,5,165
15\0\6.jpg,国産〆いわし,15,110
6\0\10.jpg,煮穴子,6,121
17\0\5.jpg,うなぎ,17,220
44\0\30.jpg,とろサーモン塩炙り,44,110
12\0\17.jpg,特盛いくら,12,330
68\0\8.jpg,ねぎとろ軍艦,68,110
62\0\4.jpg,とびこ軍艦,62,110
12\0\18.jpg,いくら,12,165
52\0\5.jpg,天然スルメイカ,52,220
19\0\33.jpg,赤えび,19,165
81\0\11.jpg,まぐろ,81,110
1\0\5.jpg,びん長まぐろ,1,110
44\0\31.jpg,サーモン,44,110
44\0\32.jpg,とろサーモン,44,110
19\0\34.jpg,えび,19,110
11\0\8.jpg,真いか,11,110
26\0\8.jpg,天然かつお,26,165
55\0\8.jpg,生たこ,55,121
60\0\7.jpg,つぶ貝,60,165
78\0\10.jpg,ほたて,78,220
5\0\9.jpg,国産あじ,5,165
15\0\7.jpg,国産〆いわし,15,110
6\0\11.jpg,煮穴子,6,121
17\0\6.jpg,うなぎ,17,220
44\0\33.jpg,とろサーモン塩炙り,44,110
12\0\19.jpg,特盛いくら,12,330
68\0\9.jpg,ねぎとろ軍艦,68,110
62\0\5.jpg,とびこ軍艦,62,110
12\0\20.jpg,いくら,12,165
52\0\6.jpg,天然スルメイカ,52,220
19\0\35.jpg,赤えび,19,165
81\0\12.jpg,まぐろ,81,110
1\0\6.jpg,びん長まぐろ,1,110
44\0\34.jpg,サーモン,44,110
44\0\35.jpg,とろサーモン,44,110
19\0\36.jpg,えび,19,110
11\0\9.jpg,真いか,11,110
26\0\9.jpg,天然かつお,26,165
55\0\9.jpg,生たこ,55,121
60\0\8.jpg,つぶ貝,60,165
78\0\11.jpg,ほたて,78,220
5\0\10.jpg,国産あじ,5,165
15\0\8.jpg,国産〆いわし,15,110
6\0\12.jpg,煮穴子,6,121
17\0\7.jpg,うなぎ,17,220
44\0\36.jpg,とろサーモン塩炙り,44,110
12\0\21.jpg,特盛いくら,12,330
68\0\10.jpg,ねぎとろ軍艦,68,110
62\0\6.jpg,とびこ軍艦,62,110
12\0\22.jpg,いくら,12,165
52\0\7.jpg,天然スルメイカ,52,220
19\0\37.jpg,赤えび,19,165
81\0\13.jpg,まぐろ,81,110
1\0\7.jpg,びん長まぐろ,1,110
44\0\37.jpg,サーモン,44,110
44\0\38.jpg,とろサーモン,44,110
19\0\38.jpg,えび,19,110
11\0\10.jpg,真いか,11,110
26\0\10.jpg,天然かつお,26,165
55\0\10.jpg,生たこ,55,121
60\0\9.jpg,つぶ貝,60,165
78\0\12.jpg,ほたて,78,220
5\0\11.jpg,国産あじ,5,165
15\0\9.jpg,国産〆いわし,15,110
6\0\13.jpg,煮穴子,6,121
17\0\8.jpg,うなぎ,17,220
44\0\39.jpg,とろサーモン塩炙り,44,110
12\0\23.jpg,特盛いくら,12,330
68\0\11.jpg,ねぎとろ軍艦,68,110
62\0\7.jpg,とびこ軍艦,62,110
12\0\24.jpg,いくら,12,165
52\0\8.jpg,天然スルメイカ,52,220
19\0\39.jpg,赤えび,19,165
81\0\14.jpg,まぐろ,81,110
1\0\8.jpg,びん長まぐろ,1,110
44\0\40.jpg,サーモン,44,110
44\0\41.jpg,とろサーモン,44,110
19\0\40.jpg,えび,19,110
11\0\11.jpg,真いか,11,110
26\0\11.jpg,天然かつお,26,165
55\0\11.jpg,生たこ,55,121
60\0\10.jpg,つぶ貝,60,165
78\0\13.jpg,ほたて,78,220
5\0\12.jpg,国産あじ,5,165
15\0\10.jpg,国産〆いわし,15,110
6\0\14.jpg,煮穴子,6,121
17\0\9.jpg,うなぎ,17,220
44\0\42.jpg,とろサーモン塩炙り,44,110
12\0\25.jpg,特盛いくら,12,330
68\0\12.jpg,ねぎとろ軍艦,68,110
62\0\8.jpg,とびこ軍艦,62,110
12\0\26.jpg,いくら,12,165
52\0\9.jpg,天然スルメイカ,52,220
19\0\41.jpg,赤えび,19,165
81\0\15.jpg,まぐろ,81,110
1\0\9.jpg,びん長まぐろ,1,110
44\0\43.jpg,サーモン,44,110
44\0\44.jpg,とろサーモン,44,110
19\0\42.jpg,えび,19,110
11\0\12.jpg,真いか,11,110
26\0\12.jpg,天然かつお,26,165
55\0\12.jpg,生たこ,55,121
60\0\11.jpg,つぶ貝,60,165
78\0\14.jpg,ほたて,78,220
5\0\13.jpg,国産あじ,5,165
15\0\11.jpg,国産〆いわし,15,110
6\0\15.jpg,煮穴子,6,121
17\0\10.jpg,うなぎ,17,220
44\0\45.jpg,とろサーモン塩炙り,44,110
12\0\27.jpg,特盛いくら,12,330
68\0\13.jpg,ねぎとろ軍艦,68,110
62\0\9.jpg,とびこ軍艦,62,110
12\0\28.jpg,いくら,12,165
52\0\10.jpg,天然スルメイカ,52,220
19\0\43.jpg,赤えび,19,165
81\0\16.jpg,まぐろ,81,110
1\0\10.jpg,びん長まぐろ,1,110
44\0\46.jpg,サーモン,44,110
44\0\47.jpg,とろサーモン,44,110
19\0\44.jpg,えび,19,110
11\0\13.jpg,真いか,11,110
26\0\13.jpg,天然かつお,26,165
55\0\13.jpg,生たこ,55,121
60\0\12.jpg,つぶ貝,60,165
78\0\15.jpg,ほたて,78,220
5\0\14.jpg,国産あじ,5,165
15\0\12.jpg,国産〆いわし,15,110
6\0\16.jpg,煮穴子,6,121
17\0\11.jpg,うなぎ,17,220
44\0\48.jpg,とろサーモン塩炙り,44,110
12\0\29.jpg,特盛いくら,12,330
68\0\14.jpg,ねぎとろ軍艦,68,110
62\0\10.jpg,とびこ軍艦,62,110
12\0\30.jpg,いくら,12,165
52\0\11.jpg,天然スルメイカ,52,220
19\0\45.jpg,赤えび,19,165
81\0\17.jpg,まぐろ,81,110
1\0\11.jpg,びん長まぐろ,1,110
44\0\49.jpg,サーモン,44,110
44\0\50.jpg,とろサーモン,44,110
19\0\46.jpg,えび,19,110
11\0\14.jpg,真いか,11,110
26\0\14.jpg,天然かつお,26,165
55\0\14.jpg,生たこ,55,121
60\0\13.jpg,つぶ貝,60,165
78\0\16.jpg,ほたて,78,220
5\0\15.jpg,国産あじ,5,165
15\0\13.jpg,国産〆いわし,15,110
6\0\17.jpg,煮穴子,6,121
17\0\12.jpg,うなぎ,17,220
44\0\51.jpg,とろサーモン塩炙り,44,110
12\0\31.jpg,特盛いくら,12,330
68\0\15.jpg,ねぎとろ軍艦,68,110
62\0\11.jpg,とびこ軍艦,62,110
12\0\32.jpg,いくら,12,165
19\0\47.jpg,海老三種,19,385
44\0\52.jpg,生サーモンづくし,44,605
41\0\10.jpg,鮨勘鯖棒寿司,41,363
6\0\18.jpg,穴子つまみ,6,902
81\1\1.jpg,鮪づくし,81,1598
44\1\1.jpg,鮭づくし,44,1490
19\1\1.jpg,海老づくし,19,1447
5\1\0.jpg,あじずし,5,1058
41\1\1.jpg,鮨勘鯖棒寿司,41,1944
52\0\12.jpg,天然スルメイカ,52,220
19\0\48.jpg,赤えび,19,165
81\0\18.jpg,まぐろ,81,110
1\0\12.jpg,びん長まぐろ,1,110
44\0\53.jpg,サーモン,44,110
44\0\54.jpg,とろサーモン,44,110
19\0\49.jpg,えび,19,110
11\0\15.jpg,真いか,11,110
26\0\15.jpg,天然かつお,26,165
55\0\15.jpg,生たこ,55,121
60\0\14.jpg,つぶ貝,60,165
78\0\17.jpg,ほたて,78,220
5\0\16.jpg,国産あじ,5,165
15\0\14.jpg,国産〆いわし,15,110
6\0\19.jpg,煮穴子,6,121
17\0\13.jpg,うなぎ,17,220
44\0\55.jpg,とろサーモン塩炙り,44,110
12\0\33.jpg,特盛いくら,12,330
68\0\16.jpg,ねぎとろ軍艦,68,110
62\0\12.jpg,とびこ軍艦,62,110
12\0\34.jpg,いくら,12,165
52\0\13.jpg,天然スルメイカ,52,220
19\0\50.jpg,赤えび,19,165
81\0\19.jpg,まぐろ,81,110
1\0\13.jpg,びん長まぐろ,1,110
44\0\56.jpg,サーモン,44,110
44\0\57.jpg,とろサーモン,44,110
19\0\51.jpg,えび,19,110
11\0\16.jpg,真いか,11,110
26\0\16.jpg,天然かつお,26,165
55\0\16.jpg,生たこ,55,121
60\0\15.jpg,つぶ貝,60,165
78\0\18.jpg,ほたて,78,220
5\0\17.jpg,国産あじ,5,165
15\0\15.jpg,国産〆いわし,15,110
6\0\20.jpg,煮穴子,6,121
17\0\14.jpg,うなぎ,17,220
44\0\58.jpg,とろサーモン塩炙り,44,110
12\0\35.jpg,特盛いくら,12,330
68\0\17.jpg,ねぎとろ軍艦,68,110
62\0\13.jpg,とびこ軍艦,62,110
12\0\36.jpg,いくら,12,165
52\0\14.jpg,天然スルメイカ,52,220
19\0\52.jpg,赤えび,19,165
81\0\20.jpg,まぐろ,81,110
1\0\14.jpg,びん長まぐろ,1,110
44\0\59.jpg,サーモン,44,110
44\0\60.jpg,とろサーモン,44,110
19\0\53.jpg,えび,19,110
11\0\17.jpg,真いか,11,110
26\0\17.jpg,天然かつお,26,165
55\0\17.jpg,生たこ,55,121
60\0\16.jpg,つぶ貝,60,165
78\0\19.jpg,ほたて,78,220
5\0\18.jpg,国産あじ,5,165
15\0\16.jpg,国産〆いわし,15,110
6\0\21.jpg,煮穴子,6,121
17\0\15.jpg,うなぎ,17,220
44\0\61.jpg,とろサーモン塩炙り,44,110
12\0\37.jpg,特盛いくら,12,330
68\0\18.jpg,ねぎとろ軍艦,68,110
62\0\14.jpg,とびこ軍艦,62,110
12\0\38.jpg,いくら,12,165
52\0\15.jpg,天然スルメイカ,52,220
19\0\54.jpg,赤えび,19,165
81\0\21.jpg,まぐろ,81,110
1\0\15.jpg,びん長まぐろ,1,110
44\0\62.jpg,サーモン,44,110
44\0\63.jpg,とろサーモン,44,110
19\0\55.jpg,えび,19,110
11\0\18.jpg,真いか,11,110
26\0\18.jpg,天然かつお,26,165
55\0\18.jpg,生たこ,55,121
60\0\17.jpg,つぶ貝,60,165
78\0\20.jpg,ほたて,78,220
5\0\19.jpg,国産あじ,5,165
15\0\17.jpg,国産〆いわし,15,110
6\0\22.jpg,煮穴子,6,121
17\0\16.jpg,うなぎ,17,220
44\0\64.jpg,とろサーモン塩炙り,44,110
12\0\39.jpg,特盛いくら,12,330
68\0\19.jpg,ねぎとろ軍艦,68,110
62\0\15.jpg,とびこ軍艦,62,110
12\0\40.jpg,いくら,12,165
52\0\16.jpg,天然スルメイカ,52,220
19\0\56.jpg,赤えび,19,165
81\0\22.jpg,まぐろ,81,110
1\0\16.jpg,びん長まぐろ,1,110
44\0\65.jpg,サーモン,44,110
44\0\66.jpg,とろサーモン,44,110
19\0\57.jpg,えび,19,110
11\0\19.jpg,真いか,11,110
26\0\19.jpg,天然かつお,26,165
55\0\19.jpg,生たこ,55,121
60\0\18.jpg,つぶ貝,60,165
78\0\21.jpg,ほたて,78,220
5\0\20.jpg,国産あじ,5,165
15\0\18.jpg,国産〆いわし,15,110
6\0\23.jpg,煮穴子,6,121
17\0\17.jpg,うなぎ,17,220
44\0\67.jpg,とろサーモン塩炙り,44,110
12\0\41.jpg,特盛いくら,12,330
68\0\20.jpg,ねぎとろ軍艦,68,110
62\0\16.jpg,とびこ軍艦,62,110
12\0\42.jpg,いくら,12,165
78\0\22.jpg,ホタテバター,78,583
41\0\11.jpg,炙り〆鯖,41,438
45\0\1.jpg,子持ちししゃも,45,328
52\0\17.jpg,天然スルメイカ,52,220
19\0\58.jpg,赤えび,19,165
81\0\23.jpg,まぐろ,81,110
1\0\17.jpg,びん長まぐろ,1,110
44\0\68.jpg,サーモン,44,110
44\0\69.jpg,とろサーモン,44,110
19\0\59.jpg,えび,19,110
11\0\20.jpg,真いか,11,110
26\0\20.jpg,天然かつお,26,165
55\0\20.jpg,生たこ,55,121
60\0\19.jpg,つぶ貝,60,165
78\0\23.jpg,ほたて,78,220
5\0\21.jpg,国産あじ,5,165
15\0\19.jpg,国産〆いわし,15,110
6\0\24.jpg,煮穴子,6,121
17\0\18.jpg,うなぎ,17,220
44\0\70.jpg,とろサーモン塩炙り,44,110
12\0\43.jpg,特盛いくら,12,330
68\0\21.jpg,ねぎとろ軍艦,68,110
62\0\17.jpg,とびこ軍艦,62,110
12\0\44.jpg,いくら,12,165
52\0\18.jpg,天然スルメイカ,52,220
19\0\60.jpg,赤えび,19,165
81\0\24.jpg,まぐろ,81,110
1\0\18.jpg,びん長まぐろ,1,110
44\0\71.jpg,サーモン,44,110
44\0\72.jpg,とろサーモン,44,110
19\0\61.jpg,えび,19,110
11\0\21.jpg,真いか,11,110
26\0\21.jpg,天然かつお,26,165
55\0\21.jpg,生たこ,55,121
60\0\20.jpg,つぶ貝,60,165
78\0\24.jpg,ほたて,78,220
5\0\22.jpg,国産あじ,5,165
15\0\20.jpg,国産〆いわし,15,110
6\0\25.jpg,煮穴子,6,121
17\0\19.jpg,うなぎ,17,220
44\0\73.jpg,とろサーモン塩炙り,44,110
12\0\45.jpg,特盛いくら,12,330
68\0\22.jpg,ねぎとろ軍艦,68,110
62\0\18.jpg,とびこ軍艦,62,110
12\0\46.jpg,いくら,12,165
52\0\19.jpg,天然スルメイカ,52,220
19\0\62.jpg,赤えび,19,165
81\0\25.jpg,まぐろ,81,110
1\0\19.jpg,びん長まぐろ,1,110
44\0\74.jpg,サーモン,44,110
44\0\75.jpg,とろサーモン,44,110
19\0\63.jpg,えび,19,110
11\0\22.jpg,真いか,11,110
26\0\22.jpg,天然かつお,26,165
55\0\22.jpg,生たこ,55,121
60\0\21.jpg,つぶ貝,60,165
78\0\25.jpg,ほたて,78,220
5\0\23.jpg,国産あじ,5,165
15\0\21.jpg,国産〆いわし,15,110
6\0\26.jpg,煮穴子,6,121
17\0\20.jpg,うなぎ,17,220
44\0\76.jpg,とろサーモン塩炙り,44,110
12\0\47.jpg,特盛いくら,12,330
68\0\23.jpg,ねぎとろ軍艦,68,110
62\0\19.jpg,とびこ軍艦,62,110
12\0\48.jpg,いくら,12,165
10\0\1.jpg,あん肝ポン酢,10,848
52\0\20.jpg,天然スルメイカ,52,220
19\0\64.jpg,赤えび,19,165
81\0\26.jpg,まぐろ,81,110
1\0\20.jpg,びん長まぐろ,1,110
44\0\77.jpg,サーモン,44,110
44\0\78.jpg,とろサーモン,44,110
19\0\65.jpg,えび,19,110
11\0\23.jpg,真いか,11,110
26\0\23.jpg,天然かつお,26,165
55\0\23.jpg,生たこ,55,121
60\0\22.jpg,つぶ貝,60,165
78\0\26.jpg,ほたて,78,220
5\0\24.jpg,国産あじ,5,165
15\0\22.jpg,国産〆いわし,15,110
6\0\27.jpg,煮穴子,6,121
17\0\21.jpg,うなぎ,17,220
44\0\79.jpg,とろサーモン塩炙り,44,110
12\0\49.jpg,特盛いくら,12,330
68\0\24.jpg,ねぎとろ軍艦,68,110
62\0\20.jpg,とびこ軍艦,62,110
12\0\50.jpg,いくら,12,165
81\0\27.jpg,まぐろ,81,98
52\0\21.jpg,天然スルメイカ,52,220
19\0\66.jpg,赤えび,19,165
81\0\28.jpg,まぐろ,81,110
1\0\21.jpg,びん長まぐろ,1,110
44\0\80.jpg,サーモン,44,110
44\0\81.jpg,とろサーモン,44,110
19\0\67.jpg,えび,19,110
11\0\24.jpg,真いか,11,110
26\0\24.jpg,天然かつお,26,165
55\0\24.jpg,生たこ,55,121
60\0\23.jpg,つぶ貝,60,165
78\0\27.jpg,ほたて,78,220
5\0\25.jpg,国産あじ,5,165
15\0\23.jpg,国産〆いわし,15,110
6\0\28.jpg,煮穴子,6,121
17\0\22.jpg,うなぎ,17,220
44\0\82.jpg,とろサーモン塩炙り,44,110
12\0\51.jpg,特盛いくら,12,330
68\0\25.jpg,ねぎとろ軍艦,68,110
62\0\21.jpg,とびこ軍艦,62,110
12\0\52.jpg,いくら,12,165
81\0\29.jpg,まぐろ,81,98
81\0\30.jpg,まぐろ,81,98
81\0\31.jpg,まぐろ,81,98
52\0\22.jpg,天然スルメイカ,52,220
19\0\68.jpg,赤えび,19,165
81\0\32.jpg,まぐろ,81,110
1\0\22.jpg,びん長まぐろ,1,110
44\0\83.jpg,サーモン,44,110
44\0\84.jpg,とろサーモン,44,110
19\0\69.jpg,えび,19,110
11\0\25.jpg,真いか,11,110
26\0\25.jpg,天然かつお,26,165
55\0\25.jpg,生たこ,55,121
60\0\24.jpg,つぶ貝,60,165
78\0\28.jpg,ほたて,78,220
5\0\26.jpg,国産あじ,5,165
15\0\24.jpg,国産〆いわし,15,110
6\0\29.jpg,煮穴子,6,121
17\0\23.jpg,うなぎ,17,220
44\0\85.jpg,とろサーモン塩炙り,44,110
12\0\53.jpg,特盛いくら,12,330
68\0\26.jpg,ねぎとろ軍艦,68,110
62\0\22.jpg,とびこ軍艦,62,110
12\0\54.jpg,いくら,12,165
19\0\70.jpg,えび三種,19,385
44\0\86.jpg,生サーモンづくし,44,605
41\0\12.jpg,鮨勘鯖棒寿司,41,363
6\0\30.jpg,穴子つまみ,6,852
19\1\2.jpg,海老づくし,19,1447
81\1\2.jpg,鮪づくし,81,1598
44\1\2.jpg,鮭づくし,44,1490
5\1\1.jpg,あじずし,5,1058
41\1\2.jpg,鮨勘鯖棒寿司,41,1944
